                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1422,                0.60171,                 1.0623,                0.94636,                0.91603,                0.96332,                0.65845,                 1.1323,                0.45955,                 1.0359,               0.007723,               0.007723,               0.007723
                     71,                 1.1444,                0.60122,                 1.0621,                0.93316,                0.92791,                0.96337,                0.65904,                 1.1322,                0.45923,                 1.0361,                0.00769,                0.00769,                0.00769
                     72,                 1.1379,                0.59996,                  1.061,                0.93197,                0.92944,                0.96377,                0.65919,                 1.1315,                0.45901,                 1.0358,               0.007657,               0.007657,               0.007657
                     73,                 1.1318,                0.59482,                 1.0604,                0.94649,                0.91497,                0.96384,                0.65956,                 1.1312,                0.45895,                 1.0359,               0.007624,               0.007624,               0.007624
                     74,                  1.139,                0.59915,                 1.0576,                0.95104,                0.91406,                0.96411,                0.65957,                 1.1311,                0.45899,                  1.036,               0.007591,               0.007591,               0.007591
                     75,                 1.1383,                0.60037,                 1.0619,                0.95003,                0.91427,                0.96415,                0.65947,                 1.1314,                0.45878,                 1.0362,               0.007558,               0.007558,               0.007558
                     76,                   1.13,                0.59235,                 1.0564,                0.94954,                0.91477,                0.96417,                0.65962,                 1.1315,                0.45855,                 1.0363,               0.007525,               0.007525,               0.007525
                     77,                  1.133,                0.59219,                 1.0546,                0.94903,                0.91503,                0.96395,                0.66013,                 1.1316,                0.45816,                 1.0362,               0.007492,               0.007492,               0.007492
                     78,                 1.1311,                0.59286,                  1.054,                0.94763,                0.91562,                0.96375,                0.65997,                 1.1322,                 0.4586,                 1.0362,               0.007459,               0.007459,               0.007459
                     79,                 1.1316,                0.59545,                 1.0589,                0.94543,                0.91617,                0.96397,                0.65965,                 1.1325,                0.45859,                 1.0363,               0.007426,               0.007426,               0.007426
                     80,                  1.129,                0.59145,                 1.0519,                0.94618,                0.91662,                0.96378,                0.65991,                 1.1324,                0.45815,                 1.0362,               0.007393,               0.007393,               0.007393
                     81,                 1.1323,                0.59494,                 1.0517,                0.94581,                0.91778,                 0.9638,                0.66042,                 1.1325,                0.45794,                  1.036,                0.00736,                0.00736,                0.00736
                     82,                 1.1298,                0.58772,                 1.0546,                0.94469,                0.91779,                 0.9638,                   0.66,                 1.1328,                0.45817,                 1.0361,               0.007327,               0.007327,               0.007327
                     83,                 1.1304,                0.59104,                 1.0562,                0.94337,                0.92006,                0.96376,                0.65964,                 1.1322,                0.45813,                  1.036,               0.007294,               0.007294,               0.007294
                     84,                 1.1213,                 0.5869,                 1.0533,                0.94389,                 0.9187,                0.96344,                0.65938,                 1.1321,                0.45781,                 1.0361,               0.007261,               0.007261,               0.007261
                     85,                 1.1208,                0.58835,                 1.0519,                0.94357,                0.91915,                 0.9637,                0.65968,                 1.1321,                0.45771,                 1.0362,               0.007228,               0.007228,               0.007228
                     86,                 1.1215,                0.58577,                 1.0511,                0.94393,                0.91919,                0.96361,                0.65957,                 1.1323,                0.45737,                 1.0363,               0.007195,               0.007195,               0.007195
                     87,                   1.12,                0.58893,                 1.0519,                 0.9429,                0.91962,                0.96354,                 0.6592,                 1.1324,                0.45743,                 1.0363,               0.007162,               0.007162,               0.007162
                     88,                 1.1237,                0.59002,                 1.0563,                0.94433,                0.91825,                0.96353,                0.65942,                 1.1325,                0.45718,                 1.0363,               0.007129,               0.007129,               0.007129
                     89,                 1.1213,                  0.588,                  1.048,                 0.9437,                0.91968,                0.96373,                0.65999,                 1.1324,                0.45736,                 1.0362,               0.007096,               0.007096,               0.007096
                     90,                  1.123,                0.58609,                 1.0474,                0.94411,                 0.9179,                0.96371,                0.65986,                 1.1323,                0.45708,                 1.0363,               0.007063,               0.007063,               0.007063
                     91,                  1.119,                0.57939,                 1.0485,                0.94471,                 0.9179,                0.96366,                0.66018,                 1.1319,                0.45701,                  1.036,                0.00703,                0.00703,                0.00703
                     92,                 1.1224,                0.58608,                 1.0464,                0.94386,                0.91813,                0.96376,                0.66064,                 1.1317,                0.45672,                 1.0359,               0.006997,               0.006997,               0.006997
                     93,                 1.1146,                0.57932,                 1.0438,                0.94432,                0.91795,                0.96374,                0.66099,                 1.1318,                0.45645,                 1.0359,               0.006964,               0.006964,               0.006964
                     94,                 1.1141,                0.58023,                 1.0467,                0.94543,                0.91743,                0.96376,                0.66063,                 1.1319,                0.45616,                 1.0358,               0.006931,               0.006931,               0.006931
                     95,                 1.1179,                0.58269,                 1.0464,                0.94499,                0.91854,                0.96397,                0.66083,                 1.1313,                0.45589,                 1.0356,               0.006898,               0.006898,               0.006898
                     96,                  1.114,                0.58135,                 1.0452,                0.94612,                0.91756,                 0.9643,                0.66125,                 1.1311,                 0.4558,                 1.0355,               0.006865,               0.006865,               0.006865
